Sample_ID,RNAseq_ID,Diet,TRT,Age,P_SAV,DUD,perfect_learner
801,202101340-01_S63_L004,AL,T,M,68,N,N
802,202101321-01_S44_L004,CR,T,M,17,N,N
804,202101315-01_S38_L004,CR,T,M,56,N,N
805,202101313-01_S36_L004,CR,U,M,N/A,N,N
806,202101322-01_S45_L004,AL,T,M,46,N,N
807,202101319-01_S42_L004,CR,T,M,68,N,N
808,202101337-01_S60_L004,AL,T,M,40,N,N
809,202101312-01_S35_L004,CR,U,M,N/A,N,N
810,202101334-01_S57_L004,AL,U,M,N/A,N,N
811,202101330-01_S53_L004,CR,T,M,55,N,N
813,202101335-01_S58_L004,CR,T,M,76,N,N
815,202101309-01_S32_L004,CR,U,M,N/A,N,N
816,202101333-01_S56_L004,AL,U,M,N/A,N,N
817,202101341-01_S64_L004,AL,T,M,47,N,N
821,202101329-01_S52_L004,AL,T,M,63,N,N
823,202101316-01_S39_L004,CR,U,M,N/A,N,N
824,202101297-01_S20_L004,CR,U,M,N/A,N,N
826,202101302-01_S25_L004,CR,T,M,57,N,N
828,202101343-01_S66_L004,AL,U,M,N/A,N,N
829,202101320-01_S43_L004,CR,U,M,N/A,N,N
830,202101305-01_S28_L004,AL,U,M,N/A,N,N
835,202101339-01_S62_L004,AL,T,M,100,N,Y
836,202101325-01_S48_L004,AL,U,M,N/A,N,N
837,202101332-01_S55_L004,AL,U,M,N/A,N,N
839,202101344-01_S67_L004,AL,T,A,84,N,N
840,202101342-01_S65_L004,AL,T,A,19,Y,N
841,202101331-01_S54_L004,AL,T,A,100,N,Y
847,202101336-01_S59_L004,AL,T,A,100,N,Y
849,202101327-01_S50_L004,AL,T,A,80,N,N
852,202101328-01_S51_L004,CR,T,A,91,N,N
855,202101326-01_S49_L004,CR,T,A,72,N,N
857,202101324-01_S47_L004,CR,T,A,100,N,Y
858,202101306-01_S29_L004,CR,T,A,17,N,N
860,202101317-01_S40_L004,CR,T,A,43,N,N
863,202101311-01_S34_L004,AL,U,A,N/A,N,N
865,202101318-01_S41_L004,AL,U,A,N/A,N,N
866,202101299-01_S22_L004,CR,T,A,8,N,N
871,202101314-01_S37_L004,AL,T,A,100,N,Y
872,202101300-01_S23_L004,CR,U,A,N/A,N,N
873,202101310-01_S33_L004,CR,U,A,N/A,N,N
874,202101338-01_S61_L004,AL,U,A,N/A,N,N
875,202101307-01_S30_L004,CR,U,A,N/A,N,N
876,202101304-01_S27_L004,CR,U,A,N/A,N,N
877,202101308-01_S31_L004,AL,U,A,N/A,N,N
878,202101303-01_S26_L004,AL,U,A,N/A,N,N
879,202101301-01_S24_L004,CR,U,A,N/A,N,N
880,202101298-01_S21_L004,CR,U,A,N/A,N,N
881,202101323-01_S46_L004,AL,U,A,N/A,N,N

